px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
193.497	37.2824	2.27601	-0.194703	-0.155345	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	352515
195.968	37.3906	3.22706	0.241753	0.214155	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	51887.2
195.829	37.3975	2.30827	0.296549	0.292499	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	359716
197.721	37.7352	2.36411	0.209255	0.0574234	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	38066.7
197.673	37.7246	2.05452	0.194577	0.0487605	197.582	37.303	197.683	37.2395	1.81869	-0.159495	363049
199.294	37.3007	1.85325	-0.399513	-0.350374	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	43399.2
199.31	37.3067	1.97026	-0.37707	-0.318463	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	369609
201.522	36.9887	2.90856	0.00887347	0.125645	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	54544.7
201.361	36.9934	2.11425	-0.112037	-0.0523974	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	381865
202.964	36.46	2.09747	-0.330604	-0.153439	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	50790.5
202.916	36.4467	1.75091	-0.39784	-0.267183	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	385057
203.993	36.1848	1.20791	-0.236967	-0.00945473	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	59524.8
203.998	36.1683	1.50466	-0.17582	0.0900126	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	392795
